SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
SIGLEC7.2742.68.2,SIGLEC7,Q9Y286,0.200446317,SL005218,2742.68
SFN.4829.43.6,SFN,P31947,-0.20036742,SL001737,4829.43
LEP.8484.24.3,LEP,P41159,-0.194773269,SL000498,8484.24
ATF6.11277.23.3,ATF6,P18850,-0.194074361,SL014732,11277.23
CST6.14711.27.3,CST6,Q15828,-0.191912708,SL004438,3303.23
IL1RN.5353.89.2,IL1RN,P18510,-0.19101864,SL001990,5353.89
F8.13499.30.3,F8,P00451,0.187157508,SL000359,13499.3
IFI16.13940.19.3,IFI16,Q16666,-0.186377209,SL006071,13940.19
KDR.3651.50.5,KDR,P35968,-0.18580588,SL003201,3651.5
MCFD2.10476.23.3,MCFD2,,0.179141167,MCFD2.10476.23.3,
CHRDL2.6086.15.3,CHRDL2,Q6WN34,-0.178780509,SL012616,6086.15
NSDHL.8038.41.3,NSDHL,Q15738,-0.170258547,SL014973,8038.41
MATN2.3325.2.2,MATN2,O00339,-0.166484144,SL010465,3325.2
BGN.3284.75.1,BGN,P21810,0.165112731,SL007804,3284.75
ACBD7.13563.259.3,ACBD7,Q8N6N7,-0.165065281,SL020184,13563.259
ANGPT2.2602.2.2,ANGPT2,O15123,-0.164122768,SL001996,2602.2
APOB.2797.56.2,APOB,P04114,0.161178076,SL000020,2797.56
PIANP.14114.18.3,PIANP,Q8IYJ0,-0.157414991,SL019019,9599.6
NELL2.6022.57.3,NELL2,Q99435,-0.154293821,SL005091,6022.57
GMFG.13062.4.3,GMFG,O60234,0.153832047,SL016378,13062.4
COCH.7227.75.3,COCH,O43405,0.153797514,SL008509,7227.75
EREG.4956.2.1,EREG,O14944,0.151822122,SL000139,4956.2
FAM19A4.6511.17.3,FAM19A4,,-0.146329989,FAM19A4.6511.17.3,
GP5.7185.29.3,GP5,P40197,0.146042303,SL006482,7185.29
NCR3.3003.29.2,NCR3,O14931,-0.145460792,SL005205,3003.29
ISG15.14151.4.3,ISG15,P05161,-0.141569031,SL015510,14151.4
LMAN2.7638.30.3,LMAN2,Q12907,-0.140280919,SL005403,9468.8
SELP.4154.57.2,SELP,P16109,0.139058907,SL000560,4154.57
CNTN2.3296.92.2,CNTN2,Q02246,0.137531075,SL008623,3296.92
TBCA.12501.10.3,TBCA,O75347,0.135832941,SL008849,12501.1
FTH1.FTL.5934.1.3,FTH1,P02794,-0.133099059,SL007933,25913.17
SEC13.14689.3.3,SEC13,P55735,0.132262933,SL011207,14689.3
CLIC5.12475.48.3,CLIC5,Q9NZA1,-0.132246882,SL019722,12475.48
ROBO2.5116.62.2,ROBO2,Q9HCK4,-0.132129923,SL007680,5116.62
CD48.3292.75.1,CD48,P09326,-0.131549732,SL010450,3292.75
