gene_simple,gene_tanaka,gene_lehallier,seqid_sl,seqid_dot,seqid_full
PSMA1,,PSMA1,,3859.50.2,PSMA1.3859.50.2
POR,,POR,,2731.29.2,POR.2731.29.2
TPST1,,TPST1,,7928.183.3,TPST1.7928.183.3
KIR3DS1,,KIR3DS1,,5097.14.3,KIR3DS1.5097.14.3
CFAP45,,CFAP45,,6553.68.3,CFAP45.6553.68.3
PSMB5,,PSMB5,,12580.7.3,PSMB5.12580.7.3
GLTPD2,,GLTPD2,,7948.129.3,GLTPD2.7948.129.3
TNFAIP6,,TNFAIP6,,5036.50.1,TNFAIP6.5036.50.1
CXCL12,,CXCL12,,3516.60.2,CXCL12.3516.60.2
SEC22A,,SEC22A,,13713.164.3,SEC22A.13713.164.3
RHOD,,RHOD,,12442.4.3,RHOD.12442.4.3
APOE,,APOE,,5312.49.3,APOE.5312.49.3
SPOCK3,,SPOCK3,,9906.21.3,SPOCK3.9906.21.3
LHB,,LHB,,8376.25.4,LHB.8376.25.4
MAPKAPK3,,MAPKAPK3,,3822.54.2,MAPKAPK3.3822.54.2
IGF1,,IGF1,,2952.75.2,IGF1.2952.75.2
VAPB,,VAPB,,7181.17.3,VAPB.7181.17.3
PHF3,,PHF3,,11544.39.3,PHF3.11544.39.3
FCER2,,FCER2,,3291.30.2,FCER2.3291.30.2
GFRAL,,GFRAL,,6920.1.3,GFRAL.6920.1.3
CD86,,CD86,,5337.64.3,CD86.5337.64.3
UBE2J1,,UBE2J1,,6900.30.3,UBE2J1.6900.30.3
FBXO3,,FBXO3,,14628.72.3,FBXO3.14628.72.3
HMGCS2,,HMGCS2,,13704.5.3,HMGCS2.13704.5.3
TXNDC5,,TXNDC5,,11212.7.3,TXNDC5.11212.7.3
SLC5A5,,SLC5A5,,12826.5.3,SLC5A5.12826.5.3
ACLY,,ACLY,,12700.9.3,ACLY.12700.9.3
ATP2A3,,ATP2A3,,13510.7.3,ATP2A3.13510.7.3
LOXL2,,LOXL2,,6504.65.3,LOXL2.6504.65.3
MRC1,,MRC1,,2637.77.2,MRC1.2637.77.2
HFE2,,HFE2,,3332.57.1,HFE2.3332.57.1
FGR,,FGR,,3810.50.2,FGR.3810.50.2
ACAN,,ACAN,,3280.49.2,ACAN.3280.49.2
THBS3,,THBS3,,8982.65.3,THBS3.8982.65.3
CRYGD,,CRYGD,,12366.16.3,CRYGD.12366.16.3
EFNA2,,EFNA2,,14124.6.3,EFNA2.14124.6.3
PTPRJ,,PTPRJ,,8250.2.3,PTPRJ.8250.2.3
INSIG1,,INSIG1,,10663.42.3,INSIG1.10663.42.3
CNTNAP2,,CNTNAP2,,6965.19.3,CNTNAP2.6965.19.3
SLC5A8,,SLC5A8,,13691.10.3,SLC5A8.13691.10.3
LDLR,,LDLR,,13129.40.3,LDLR.13129.40.3
MFAP2,,MFAP2,,9294.45.3,MFAP2.9294.45.3
LGALS8,,LGALS8,,4909.68.1,LGALS8.4909.68.1
PTPRH,,PTPRH,,11988.24.3,PTPRH.11988.24.3
DIABLO,,DIABLO,,3122.6.2,DIABLO.3122.6.2
DCN,,DCN,,2666.53.2,DCN.2666.53.2
DNER,,DNER,,9769.48.3,DNER.9769.48.3
ADAMTS13,,ADAMTS13,,3175.51.5,ADAMTS13.3175.51.5
IFNA5,,IFNA5,,6210.100.3,IFNA5.6210.100.3
ERBB2,,ERBB2,,2616.23.18,ERBB2.2616.23.18
HMGB2,,HMGB2,,6913.189.3,HMGB2.6913.189.3
C17orf67,,C17orf67,,9070.1.3,C17orf67.9070.1.3
WFIKKN2,,WFIKKN2,,3235.50.2,WFIKKN2.3235.50.2
NR1H2,,NR1H2,,9016.12.3,NR1H2.9016.12.3
ST3GAL1,,ST3GAL1,,5657.28.3,ST3GAL1.5657.28.3
BPI,,BPI,,4126.22.1,BPI.4126.22.1
XDH,,XDH,,11264.33.3,XDH.11264.33.3
THSD7A,,THSD7A,,11174.8.3,THSD7A.11174.8.3
COPS2,,COPS2,,14029.42.3,COPS2.14029.42.3
MASP1,,MASP1,,3605.77.4,MASP1.3605.77.4
