SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
10442-1,TMEM190,Q8WZ59,-0.009324993206730452,SL018089,seq.10442.1
10445-20,APOM,O95445,0.16038674244795156,SL004747,seq.10445.20
10447-18,PABPC3,Q9H361,-0.03081888063844937,SL018138,seq.10447.18
10449-31,SHISA2,Q6UWI4,0.0,SL008887,seq.10449.31
10453-7,CEACAM20,Q6UY09,0.0,SL018233,seq.10453.7
10454-99,DNAJC16,Q9Y2G8,0.000986917903371534,SL018290,seq.10454.99
10455-196,IL31,Q6EBC2,0.0,SL004678,seq.10455.196
10462-14,INSL5,Q9Y5Q6,0.00028682586062482926,SL012880,seq.10462.14
10464-6,ANTXR1,Q9H6X2,-0.0006984547192270449,SL008696,seq.10464.6
10490-3,RPN1,P04843,-2.262161591641952e-05,SL011102,seq.10490.3
10496-11,CLCA1,A8K7I4,-0.005293586434970492,SL009322,seq.10496.11
10499-1,TMEM106A,Q96A25,0.0,SL008733,seq.10499.1
10506-53,PGRMC2,O15173,0.0003205192565398256,SL007962,seq.10506.53
10507-166,ACRV1,P26436,0.0,SL009308,seq.10507.166
10510-62,SCIMP,Q6UWF3,0.00029561427839648965,SL018612,seq.10510.62
10512-13,CSF2RB,P32927,0.00046598152082416355,SL007194,seq.10512.13
10513-13,KCNIP3,Q9Y2W7,0.007817789295680716,SL018613,seq.10513.13
10514-5,PTGDS,P41222,0.0012937650391166443,SL005360,seq.10514.5
10521-10,MXRA8,Q9BRK3,0.20414813238234897,SL017989,seq.10521.10
10527-22,DHX9,Q08211,0.0,SL013075,seq.10527.22
10530-8,PSMB6,P28072,-0.01715268996476761,SL016414,seq.10530.8
10531-18,NRAS,P01111,0.0,SL010845,seq.10531.18
10534-40,PARP1,P09874,0.0,SL003527,seq.10534.40
10535-25,COX6A2,Q02221,0.004139983970629106,SL018731,seq.10535.25
10539-30,CD99L2,Q8TCZ2,-0.00013466020172070903,SL014293,seq.10539.30
10546-2,TSPEAR,Q8WU66,-0.0070495121617176375,SL012744,seq.10546.2
10550-37,BMPR1B,O00238,9.322673358494991e-05,SL004132,seq.10550.37
10551-7,LAT,O43561,0.0,SL007008,seq.10551.7
10552-88,KLRC4,O43908,-0.00046939815896469974,SL017983,seq.10552.88
10553-8,TOR1AIP2,Q8NFQ8,-6.769155144504329e-05,SL017988,seq.10553.8
10557-6,TEX29,Q8N6K0,-0.007416958708665857,SL018003,seq.10557.6
10558-26,PCDH9,Q9HC56,0.0,SL008436,seq.10558.26
10560-1,ITM2C,Q9NQX7,0.00612603852699842,SL017978,seq.10560.1
10561-5,PGLYRP3,Q96LB9,-0.03970856621429579,SL004512,seq.10561.5
10562-42,NETO2,Q8NC67,-4.2938031645082315e-05,SL015086,seq.10562.42
10563-13,LYSMD3,Q7Z3D4,-6.410336068222916e-06,SL018021,seq.10563.13
10565-19,SLITRK3,O94933,0.0,SL017951,seq.10565.19
10569-28,MFAP2,P55001,0.030626155877461245,SL012443,seq.10569.28
10571-14,MGAT1,P26572,-3.465962313189986e-06,SL018096,seq.10571.14
10572-65,CST8,O60676,-0.006506788287757101,SL012372,seq.10572.65
10574-10,B2M,P61769,0.0005519013373081086,SL000283,seq.10574.10
10575-31,PUF60,Q9UHX1,0.0007220947365521678,SL018139,seq.10575.31
10580-14,SFTA2,Q6UW10,0.0,SL012586,seq.10580.14
10583-1,TMEM108,Q6UXF1,0.0003912565176546702,SL018282,seq.10583.1
10584-7,NDUFS4,O43181,0.002795293222651253,SL018289,seq.10584.7
10588-39,ST3GAL5,Q9UNP4,-0.0015047761174009878,SL011395,seq.10588.39
10589-7,RAET1L,Q5VY80,-8.883060041721669e-05,SL018354,seq.10589.7
