SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
SL006892,ABL1,P00519,0.0339171748,SL006892,seq.3341.33
SL012763,EMID1,Q96A84,0.0417997798,SL012763,seq.9547.29
SL017248,RSPO1,Q2MKA7,0.0421022659,SL017248,seq.6240.70
SL004968,sTREM-1,Q9NP99,0.0458822453,SL004968,seq.9266.1
SL005739,DRP-1,Q14194,0.0472673151,SL005739,seq.18323.39
SL015281,OXSM,Q9NWU1,0.0609153824,SL015281,seq.18271.43
SL014579,ARI1A,O14497,0.0625009227,SL014579,seq.9898.161
SL019960,NIPA4,Q0D2K0,0.0703686252,SL019960,seq.12864.9
SL019480,ELL2,O00472,0.078502063,SL019480,seq.11494.4
SL017466,RN128,Q8TEB7,0.0861360842,SL017466,seq.8633.18
SL008101,NNMT,P40261,0.088233267,SL008101,seq.19376.74
SL017948,CNTP2,Q9UHC6,0.1044241467,SL017948,seq.6965.19
SL004001,CBX3,Q13185,0.1044416625,SL004001,seq.18868.7
SL019708,TPRKB,Q9Y3C4,0.1092860777,SL019708,seq.12417.46
SL014722,ITF2,P15884,0.1144285753,SL014722,seq.19144.9
SL008130,CRIP2,P52943,0.1150645766,SL008130,seq.9053.16
SL019239,NHRF3,Q5T2W1,0.1171995178,SL019239,seq.16852.10
SL000589,TSH,P01215|P01222,0.1183755574,SL000589,seq.3521.16
SL020146,RPR1A,Q96P16,0.1218875102,SL020146,seq.13515.8
SL020205,RND1,Q92730,0.1229123991,SL020205,seq.13574.50
SL008892,OSTN,P61366,0.1400437299,SL008892,seq.7265.32
SL019053,MEG10,Q96KG7,0.1412681962,SL019053,seq.11168.3
SL003869,MIC-1,Q99988,0.1433537315,SL003869,seq.4374.45
SL012531,DB112,Q30KQ8,0.1455422181,SL012531,seq.5689.1
SL004483,SP-B,P07988,0.1525626759,SL004483,seq.10672.75
SL015008,LYPL1,Q5VWZ2,0.1576600824,SL015008,seq.12428.2
SL007279,ACLY,P53396,0.1598981196,SL007279,seq.12700.9
SL011968,Omentin,Q8WWA0,0.1642204077,SL011968,seq.18830.1
SL007288,INHBC,P55103,0.1737939138,SL007288,seq.6408.2
SL011179,CAN2,P17655,0.1819348081,SL011179,seq.14684.17
SL018089,TM190,Q8WZ59,0.1841603611,SL018089,seq.10442.1
SL008860,GLRX1,P35754,0.2040467765,SL008860,seq.18386.36
SL007629,FOXC2,Q99958,0.2062480447,SL007629,seq.14051.54
SL019725,ASB9,Q96DX5,0.2179774539,SL019725,seq.19601.15
SL016512,HINT2,Q9BX68,0.2391997414,SL016512,seq.5612.16
SL018151,SQSTM,Q13501,0.2397851028,SL018151,seq.7695.106
SL004864,Cadherin-12,P55289,0.2420862621,SL004864,seq.8329.166
SL008078,LMOD1,P29536,0.2539784658,SL008078,seq.12504.26
SL006527,FBLN3,Q12805,0.2559070529,SL006527,seq.8480.29
SL008179,RHG01,Q07960,0.258247881,SL008179,seq.9815.5
SL020124,POLI,Q9UNA4,0.2594739271,SL020124,seq.13536.56
SL020133,PIAS3,Q9Y6X2,0.2601051936,SL020133,seq.13513.174
SL003672,SOD3,P08294,0.2750578773,SL003672,seq.8463.2
SL020123,ARHGP,Q86VW2,0.2990628435,SL020123,seq.13519.112
SL005189,IL-7 Ra,P16871,0.3059878593,SL005189,seq.5089.11
SL007231,GLP1R,P43220,0.3201192516,SL007231,seq.20581.42
SL011328,ClpP endopeptidase,Q16740,0.3432600476,SL011328,seq.17196.5
SL011499,PH,P01298,0.3469536363,SL011499,seq.4588.1
SL006092,Secretoglobin family 3A member 1,Q96QR1,0.3712803206,SL006092,seq.6252.62
SL012437,KI2S4,P43632,0.3863816645,SL012437,seq.17152.10
SL018073,PDILT,Q8N807,0.4017004529,SL018073,seq.7092.7
SL003764,NCAM-120,P13591,0.4141661201,SL003764,seq.4498.62
SL015168,BARD1,Q99728,0.4315985254,SL015168,seq.13977.28
SL019787,ARFP2,P53365,0.4534018222,SL019787,seq.12630.8
SL000323,C7,P10643,0.4665933411,SL000323,seq.2888.49
SL020131,IP3KA,P23677,0.4728553164,SL020131,seq.13473.55
SL012818,C1QT3,Q9BXJ4,0.4762989997,SL012818,seq.7251.64
SL005201,MIS,P03971,0.4995567837,SL005201,seq.4923.79
SL012540,SVEP1,Q4LDE5,0.5129808723,SL012540,seq.11178.21
SL018838,JPH4,Q96JJ6,0.6393208342,SL018838,seq.9111.40
SL012540,SVEP1,Q4LDE5,0.6452098036,SL012540,seq.11178.21
SL012517,RSPO4,Q2I0M5,0.6822628533,SL012517,seq.8464.31
SL007735,TEN3,Q9P273,0.750129624,SL007735,seq.11107.25
SL017488,CDCP1,Q9H5V8,0.7662191457,SL017488,seq.8589.13
SL010390,URB,Q76M96,0.7940739939,SL010390,seq.3234.23
SL002561,PTHrP,P12272,0.8306075764,SL002561,seq.2962.50
SL012443,MFAP2,P55001,0.952405225,SL012443,seq.9294.45
SL005360,PGD2 synthase,P41222,0.9556902692,SL005360,seq.10514.5
SL004579,Macrophage mannose receptor,P22897,0.9558662884,SL004579,seq.2637.77
SL003679,IGF-II receptor,P11717,0.9694672592,SL003679,seq.3676.15
SL004626,ADAMTS-5,Q9UNA0,0.9811659323,SL004626,seq.3168.8
SL003303,CCL28,Q9NRJ3,1.0578497397,SL003303,seq.2890.59
SL012846,CRAC1,Q9NQ79,1.0931872002,SL012846,seq.5632.6
SL000522,MMP-12,P39900,1.0964672227,SL000522,seq.4496.60
SL008169,TAGL,Q01995,1.1976861896,SL008169,seq.9756.6
SL009400,CRDL1,Q9BU40,1.8089336097,SL009400,seq.3362.61
SL005222,SREC-II,Q96GP6,2.2351961851,SL005222,seq.9925.56
SL004674,WISP-2,O76076,2.4729210468,SL004674,seq.6392.7
SL002704,PTN,P21246,4.5743299851,SL002704,seq.3045.72
